Lineage,Speciation_Rate,Extinction_Rate,Net.diversification_Rate,Taxonomic.group,Biogeographic.origin,Habitat,tip_names
Raorchestes,0.0463646629042953,0.0106555817210913,0.035709081183204,Herpetofauna,Asian,Wet,Raorchestes_leuteolus_CESF1012
Raorchestes,0.0529552717282276,0.0121702432438143,0.0407850284844133,Herpetofauna,Asian,Wet,Raorchestes_travancoricus_CESF473
Raorchestes,0.0562864351899648,0.0129358151744487,0.0433506200155161,Herpetofauna,Asian,Wet,Raorchestes_UI_CESF243
Raorchestes,0.0447979544605297,0.010295518931675,0.0345024355288547,Herpetofauna,Asian,Wet,Raorchestes_agasthyaensis_CESF492
Raorchestes,0.0442894636098459,0.0101786569623543,0.0341108066474917,Herpetofauna,Asian,Wet,Raorchestes_kadalarensis_CESF1766
Raorchestes,0.0947347330272681,0.021772048503437,0.0729626845238311,Herpetofauna,Asian,Wet,Raorchestes_echinatus_CESF1414
Raorchestes,0.0753684439065614,0.0173212650094228,0.0580471788971387,Herpetofauna,Asian,Wet,Raorchestes_indigo_CESF123
Raorchestes,0.0578697893847002,0.0132997035100602,0.0445700858746399,Herpetofauna,Asian,Wet,Raorchestes_flaviventris_CESF1353
Raorchestes,0.0514869411277823,0.0118327897668221,0.0396541513609602,Herpetofauna,Asian,Wet,Raorchestes_hassanensis_CESF1178
Raorchestes,0.055396418549395,0.0127312704963972,0.0426651480529977,Herpetofauna,Asian,Wet,Raorchestes_ponmudi_CESF063
Raorchestes,0.0724963271744959,0.0166611917416798,0.0558351354328161,Herpetofauna,Asian,Wet,Raorchestes_ghatei_CESF1262
Raorchestes,0.054755916651856,0.0125840695919966,0.0421718470598594,Herpetofauna,Asian,Wet,Raorchestes_aff_tuberohumerus_CESF1210
Raorchestes,0.0561554713579698,0.0129057169115278,0.043249754446442,Herpetofauna,Asian,Wet,Raorchestes_tuberohumerus_CESF148
Raorchestes,0.047560895550964,0.0109305013242021,0.0366303942267619,Herpetofauna,Asian,Wet,Raorchestes_kakkayamensis
Raorchestes,0.043954533409521,0.0101016829071823,0.0338528505023387,Herpetofauna,Asian,Wet,Raorchestes_leucolatus_CESF1147
Raorchestes,0.0566211773586139,0.0130127460159583,0.0436084313426556,Herpetofauna,Asian,Wet,Raorchestes_bombayensis_CESF1010
Raorchestes,0.0659407332607799,0.0151545773870779,0.050786155873702,Herpetofauna,Asian,Wet,Raorchestes_coonorensis_CESF439
